text_input,output
นโยบายการรักษาความปลอดภัยระบบเทคโนโลยีสารสนเทศมีวัตถุประสงค์อะไรบ้าง?,"วัตถุประสงค์คือเพื่อกำหนดทิศทางหลักการและข้อกำหนดด้านความมั่นคงปลอดภัยเทคโนโลยีสารสนเทศ, เพื่อสร้างความรู้ความเข้าใจและให้พนักงานปฏิบัติตามนโยบายที่ถูกต้อง, เพื่อให้ผู้ใช้งานระบบคอมพิวเตอร์ของบริษัทใช้งานได้อย่างเหมาะสม และเพื่อป้องกันไม่ให้ระบบคอมพิวเตอร์และข้อมูลของบริษัทถูกบุกรุกหรือทำลาย"
นโยบายฉบับนี้ครอบคลุมใครบ้าง?,นโยบายฉบับนี้ใช้กับบริษัท แอดวานซ์ อินฟอร์เมชั่น เทคโนโลยี จำกัด (มหาชน) และบริษัทในเครือ รวมถึงบุคคลภายนอกที่ได้รับอนุญาตให้ใช้ระบบเครือข่ายคอมพิวเตอร์ของบริษัท
คำว่า 'บริษัท' ในนโยบายนี้หมายความว่าอย่างไร?,“บริษัท” หมายความถึง บริษัท แอดวานซ์ อินฟอร์เมชั่น เทคโนโลยี จำกัด (มหาชน) และบริษัทย่อย
นิยามของ 'เครื่องคอมพิวเตอร์' ตามนโยบายนี้คืออะไร?,"“เครื่องคอมพิวเตอร์” หมายความว่า อุปกรณ์ประมวลผลข้อมูลที่ทำงานด้วยระบบอิเล็กทรอนิกส์ที่มีความเร็วสูง โดยทำงานตามคำสั่งผ่านซอฟต์แวร์ เช่น คอมพิวเตอร์แม่ข่าย, คอมพิวเตอร์ส่วนบุคคล และคอมพิวเตอร์แบบพกพา"
อุปกรณ์คอมพิวเตอร์ในนโยบายนี้หมายถึงอะไร?,“อุปกรณ์คอมพิวเตอร์” หมายถึง อุปกรณ์อิเล็กทรอนิกส์ที่ใช้งานร่วมกับเครื่องคอมพิวเตอร์เพื่อสนับสนุนให้เครื่องคอมพิวเตอร์ปฏิบัติงานได้ตามต้องการ เช่น สมาร์ทโฟน โทรศัพท์มือถือ และแท็บเล็ต
คำว่า 'เครือข่ายคอมพิวเตอร์' ในเอกสารนี้หมายถึงอะไร?,“เครือข่ายคอมพิวเตอร์” หมายถึง เครือข่ายคอมพิวเตอร์ของบริษัท รวมถึงเครือข่ายคอมพิวเตอร์แม่ข่ายและอุปกรณ์ที่เกี่ยวข้อง
ผู้บังคับบัญชาในนโยบายนี้คือใคร?,“ผู้บังคับบัญชา” หมายความว่า ผู้มีอำนาจสั่งการตามโครงสร้างองค์กรของบริษัท
นิยามของ 'ผู้ใช้งาน' ในบริบทของนโยบายนี้คืออะไร?,“ผู้ใช้งาน” (User) หมายถึง พนักงานบริษัทหรือบุคคลภายนอก รวมถึงลูกจ้างทดลองงาน ลูกจ้างชั่วคราว หรือบุคคลอื่นที่ได้รับมอบหมายให้ปฏิบัติงานตามสัญญาหรือข้อตกลงของบริษัทที่ได้รับสิทธิ์ในการใช้งานระบบคอมพิวเตอร์ของบริษัท
บัญชีผู้ใช้งาน (User account) หมายถึงอะไร?,“บัญชีผู้ใช้งาน” (User account) หมายถึง บัญชีที่ผู้ใช้งานใช้ในการเข้าถึงและใช้งานระบบคอมพิวเตอร์ ซึ่งเป็นไปตามข้อตกลงระหว่างผู้ใช้งานกับผู้ให้บริการระบบคอมพิวเตอร์
คำว่า 'ข้อมูล' ในเอกสารนี้ครอบคลุมอะไรบ้าง?,“ข้อมูล” หมายถึง สิ่งที่สื่อความหมายให้รู้เรื่องราวหรือข้อเท็จจริงใด ๆ ไม่ว่าจะสื่อความหมายนั้นโดยสภาพของสิ่งนั้นเองหรือผ่านวิธีการใด ๆ และไม่ว่าจะทำในรูปแบบเอกสาร แฟ้ม รายงาน หนังสือ แผนผัง แผนที่ ภาพวาด ภาพถ่าย ฟิล์ม การบันทึกภาพหรือเสียง หรือการบันทึกโดยเครื่องคอมพิวเตอร์หรือวิธีการอื่นใด
การพิสูจน์ตัวตนในนโยบายนี้หมายความว่าอย่างไร?,“การพิสูจน์ตัวตน” หมายถึง ขั้นตอนการยืนยันความถูกต้องของหลักฐาน (Identity) ที่แสดงว่าเป็นบุคคลที่กล่าวอ้างจริง
ผู้ดูแลระบบในที่นี้คืออะไร?,“ผู้ดูแลระบบ” หมายถึง ผู้ดูแลระบบเครือข่ายคอมพิวเตอร์ที่ได้รับมอบหมายจากบริษัท
Virtual Private Network (VPN) ในบริบทนี้คืออะไร?,“Virtual Private Network (VPN)” หมายถึง การเข้าสู่ระบบสารสนเทศของบริษัทจากระยะไกล
นโยบายฉบับนี้มีการปรับปรุงเปลี่ยนแปลงหรือไม่?,มีการปรับปรุงเปลี่ยนแปลงนโยบาย โดยมีการบันทึกประวัติการเปลี่ยนแปลง/เพิ่มเติมไว้ในหน้าประวัติการเปลี่ยนแปลง เช่น เมื่อวันที่ 23 พ.ค. 65 ประกาศนโยบายและข้อกำหนดด้านระบบสารสนเทศ และวันที่ 2 ก.ค. 66 ปรับปรุงข้อกำหนดด้านการใช้งานระบบภายนอกผ่าน VPN
วัตถุประสงค์ข้อใดกล่าวถึงการสร้างความรู้ความเข้าใจแก่พนักงาน?,วัตถุประสงค์ข้อ 2 กล่าวถึงการสร้างความรู้ความเข้าใจให้พนักงานปฏิบัติตามนโยบาย มาตรฐาน กรอบการดำเนินงาน ขั้นตอนการปฏิบัติงาน คำแนะนำ และกฎหมายที่เกี่ยวข้องกับระบบคอมพิวเตอร์ได้อย่างถูกต้องและเหมาะสม
ทำไมนโยบายนี้จึงถูกกำหนดขึ้น?,เนื่องจากมีการใช้งานระบบเทคโนโลยีสารสนเทศเพื่อความสะดวกและเพิ่มประสิทธิภาพในการทำงาน ตลอดจนป้องกันปัญหาที่อาจเกิดจากการใช้งานเครือข่ายและระบบอย่างไม่ถูกต้อง รวมถึงป้องกันภายคุกคามต่าง ๆ ที่อาจส่งผลกระทบต่อธุรกิจของบริษัท
นโยบายนี้มีการสนับสนุนพระราชบัญญัติใด?,นโยบายนี้สนับสนุนพระราชบัญญัติว่าด้วยการกระทำความผิดเกี่ยวกับคอมพิวเตอร์ พ.ศ. 2550
ใครมีหน้าที่รักษาความปลอดภัยของระบบสารสนเทศ?,การรักษาความปลอดภัยถือเป็นหน้าที่ของพนักงานและบุคคลภายนอกทุกคนที่ใช้งานระบบสารสนเทศของบริษัท
การบริหารและปฏิบัติเพื่อรักษาความมั่นคงปลอดภัยต้องทำอย่างไร?,การบริหารและปฏิบัติเพื่อรักษาความมั่นคงปลอดภัยต้องทำอย่างต่อเนื่องตลอดเวลา
ทำไมการมีจิตสำนึกและความรับผิดชอบถึงมีความสำคัญในการรักษาความมั่นคงปลอดภัย?,เพราะการมีจิตสำนึกรู้จักหน้าที่ ความรับผิดชอบ และใส่ใจต่อข้อปฏิบัติที่กำหนดไว้จะทำให้การรักษาความมั่นคงปลอดภัยดำเนินไปอย่างมีประสิทธิผล
ใครต้องเข้าใจหน้าที่และความรับผิดชอบในการรักษาความปลอดภัย?,พนักงานและบุคคลภายนอกต้องเข้าใจหน้าที่และความรับผิดชอบในการรักษาความปลอดภัย
บัญชีผู้ใช้งานและรหัสผ่านถูกกำหนดขึ้นเพื่ออะไร?,บัญชีผู้ใช้งาน (Username) และรหัสผ่าน (Password) ถูกกำหนดขึ้นเพื่อเป็นตัวกำหนดสิทธิ์การใช้งานระบบงานต่าง ๆ และเป็นข้อปฏิบัติพื้นฐานในการรักษาความปลอดภัยข้อมูลคอมพิวเตอร์
ผู้ใช้งานแต่ละคนควรมีบัญชีผู้ใช้งานแบบใด?,ผู้ใช้งานแต่ละคนต้องมีบัญชีชื่อผู้ใช้งาน (Username) ของตนเอง ห้ามใช้ร่วมกับผู้อื่น
ผู้ใช้งานควรป้องกันข้อมูลบัญชีและรหัสผ่านอย่างไร?,ผู้ใช้งานต้องป้องกัน ดูแลรักษาข้อมูลบัญชีชื่อผู้ใช้งาน (Username) และรหัสผ่าน (Password) โดยห้ามเผยแพร่หรือแจกจ่ายให้ผู้อื่นล่วงรู้
หากมีการกระทำใด ๆ จากบัญชีผู้ใช้งาน ผู้ใช้งานต้องรับผิดชอบอย่างไร?,ผู้ใช้งานต้องรับผิดชอบต่อการกระทำใด ๆ ที่เกิดจากบัญชีผู้ใช้งานของตนเอง ไม่ว่าจะเป็นผู้ใช้งานกระทำเองหรือไม่ ยกเว้นกรณีที่เกิดจากบุคคลอื่นโดยไม่ใช่ความตั้งใจหรือความประมาทของผู้ใช้งาน
การดำเนินการเกี่ยวกับบัญชีผู้ใช้งาน เช่น การขอบัญชีใหม่หรือขอเปลี่ยนสิทธิ์ ต้องทำอย่างไร?,ต้องมีการขอและได้รับอนุมัติเป็นลายลักษณ์อักษรจากผู้บังคับบัญชาหรือหน่วยงานที่เกี่ยวข้อง
การรักษาความปลอดภัยระบบเทคโนโลยีสารสนเทศเป็นหน้าที่ของฝ่ายใด?,เป็นหน้าที่ของพนักงานและบุคคลภายนอกทุกคนที่ใช้งานระบบสารสนเทศของบริษัท
การบริหารและปฏิบัติเพื่อรักษาความมั่นคงปลอดภัยต้องดำเนินแบบใด?,ต้องดำเนินอย่างต่อเนื่องตลอดเวลา
